Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Bestell_Datum,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Leon,Babucke,Eichbuschallee,1,72138,Kirchentellinsfurt,Germany,17 December 2018,20 December 2018,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Helen,Dachs,KGA Holunderbusch,8,68782,Brühl (Baden),Germany,18 December 2018,21 December 2018,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Phil,Iding,Helbigstraße,8,71720,Oberstenfeld,Germany,19 December 2018,22 December 2018,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Hendrik,Pachali,Vimystraße,1,72636,Frickenhausen (Württemberg),Germany,20 December 2018,23 December 2018,1,2.33,2.7727,2.7727,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Mareen,Oberleitner,Gemeinschaftsstraße,45,72415,Grosselfingen,Germany,21 December 2018,24 December 2018,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Gel,Ebersmann,Platz der Befreiung,8,71711,Murr,Germany,22 December 2018,25 December 2018,1,1.33,1.5827,1.5827,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Hardy,Pachinger,Wilhelm-Ostwald-Straße,51,72657,Altenriet,Germany,23 December 2018,26 December 2018,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Julian,Labella,Forsthausallee,8,71297,Mönsheim,Germany,24 December 2018,27 December 2018,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Susanne,Abdellaoui,Bernstadter Weg,26,69250,Schönau (Odenwald),Germany,25 December 2018,28 December 2018,1,2.3,2.737,2.737,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Lea,Ebbers,Glienicker Weg,2,71155,Altdorf (Kreis Böblingen),Germany,26 December 2018,29 December 2018,2,1.65,1.9635,1.9635,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Kaaria,Oberegger,Genossenschaftsstraße,64,72227,Egenhausen,Germany,27 December 2018,30 December 2018,1,1.24,1.4756,1.4756,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Yannis,Jacqueline,Forsthausallee,1,72510,Stetten am kalten Markt,Germany,28 December 2018,31 December 2018,3,0.0,0.0,0.0,49.99,42.00840336134454,0.19,149.97,126.02521008403362,23.944789915966386
Dirk,Caicedo,Thomas-Müntzer-Straße,1,72555,Metzingen,Germany,29 December 2018,01 January 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Hugo,Eble,Erich-Thilo-Straße,2,72144,Dußlingen,Germany,30 December 2018,02 January 2019,1,1.99,2.3681,2.3681,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Linas,Qorraj,Bärdorfer Zeile,12,72474,Winterlingen,Germany,31 December 2018,03 January 2019,1,1.99,2.3681,2.3681,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Christoph,Maack,Hollstraße,48,72160,Horb am Neckar,Germany,01 January 2019,04 January 2019,1,2.1,2.499,2.499,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Jonathan,Packroff,Baumschulenstraße,7,72226,Simmersfeld,Germany,02 January 2019,05 January 2019,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Vidu,Jacksteit,KGA Holunderbusch,98,72417,Jungingen,Germany,03 January 2019,06 January 2019,1,4.99,5.9381,5.9381,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Ivette,Dada,Ekkehardstraße,28,69181,Leimen (Baden),Germany,04 January 2019,07 January 2019,1,1.99,2.3681,2.3681,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Bianca,Kabus,Rosenweg,29,68809,Neulußheim,Germany,05 January 2019,08 January 2019,1,0.0,0.0,0.0,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Raina,Haarmeyer,Platz der Befreiung,9,68723,Schwetzingen,Germany,06 January 2019,09 January 2019,1,2.99,3.5581000000000005,3.5581000000000005,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Ebba,Babel,Bergaustraße,98,71679,Asperg,Germany,07 January 2019,10 January 2019,1,2.99,3.5581000000000005,3.5581000000000005,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Jaqueline,Dähne,Florian-Geyer-Straße,4,69254,Malsch bei Wiesloch,Germany,08 January 2019,11 January 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Ian,Gaal,Frauenlobstraße,58,72213,Altensteig,Germany,09 January 2019,12 January 2019,1,1.01,1.2019,1.2019,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Cedrik,Maag,Köpenicker Straße,9,72172,Sulz am Neckar,Germany,10 January 2019,13 January 2019,2,2.33,2.7727,2.7727,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Kaarle,Gaby,Hoffmannstraße,28,72419,Neufra,Germany,11 January 2019,14 January 2019,1,0.0,0.0,0.0,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Linus,Labrenz,Arndtstraße,9,71540,Murrhardt,Germany,12 January 2019,15 January 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Luzia,Laake,Dornbrunner Straße,61,71131,Jettingen,Germany,13 January 2019,16 January 2019,2,1.99,2.3681,2.3681,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Maya,Kaaden,Friedenstraße,48,72636,Frickenhausen (Württemberg),Germany,14 January 2019,17 January 2019,1,1.99,2.3681,2.3681,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Baldur,Lachmuth,Lohnauer Steig,45,71729,Erdmannhausen,Germany,15 January 2019,18 January 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Allessandro,Lacheta,Hackenbergstraße,1,71711,Steinheim an der Murr,Germany,16 January 2019,19 January 2019,2,0.0,0.0,0.0,359.99,302.51260504201684,0.19,719.98,605.0252100840337,114.95478991596632
Olivier,Ickstadt,Moissistraße,25,71579,Spiegelberg,Germany,17 January 2019,20 January 2019,2,2.6,3.0940000000000003,3.0940000000000003,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Leon,Qelaj,Husstraße,15,72417,Jungingen,Germany,18 January 2019,21 January 2019,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Fabian,Calabrese,Stienitzseestraße,48,72658,Bempflingen,Germany,19 January 2019,22 January 2019,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Lucy,Eaton,Eigenheimgasse,62,71139,Ehningen,Germany,20 January 2019,23 January 2019,1,1.63,1.9397,1.9397,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Onur,Icli,Walther-Nernst-Straße,48,71679,Asperg,Germany,21 January 2019,24 January 2019,1,2.3,2.737,2.737,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Hendrik,Ebigt,Zinsgutstraße,3,72131,Ofterdingen,Germany,22 January 2019,25 January 2019,1,2.3,2.737,2.737,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Jan,Gabbert,Baumschulenstraße,12,72250,Freudenstadt,Germany,23 January 2019,26 January 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Fabia,Calame,Zinsgutstraße,26,72666,Neckartailfingen,Germany,24 January 2019,27 January 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Djamila,Baaz,Magnusstraße,6,71549,Auenwald,Germany,25 January 2019,28 January 2019,3,0.0,0.0,0.0,99.99,84.02521008403362,0.19,299.97,252.07563025210084,47.894369747899134
Liz,Oberlechner,Freystadter Weg,3,72411,Bodelshausen,Germany,26 January 2019,29 January 2019,1,2.0,2.38,2.38,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Fabrizius,Cakolli,Seidenbaustraße,14,72655,Altdorf bei Nürtingen,Germany,27 January 2019,30 January 2019,1,2.0,2.38,2.38,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Daniel,Maasch,Handjerystraße,12,72213,Altensteig,Germany,28 January 2019,31 January 2019,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Patrick,Idinger,Hollstraße,9,71723,Großbottwar,Germany,29 January 2019,01 February 2019,1,0.0,0.0,0.0,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Aamenah,Kabelka,Gemeinschaftsstraße,6,68723,Oftersheim,Germany,30 January 2019,02 February 2019,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Hanna,Machnik,KGA Einigkeit II,2,72532,Gomadingen,Germany,31 January 2019,03 February 2019,1,1.99,2.3681,2.3681,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Nadine,Gaens,Walther-Nernst-Straße,84,72587,Römerstein,Germany,01 February 2019,04 February 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Abigail,Kabatek,Walther-Nernst-Straße,3,68526,Ladenburg,Germany,02 February 2019,05 February 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Laura,Oberhollenzer,Glienicker Weg,3,72364,Obernheim,Germany,03 February 2019,06 February 2019,1,1.4,1.666,1.666,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Marianne,Eber,Rosenweg,51,71540,Murrhardt,Germany,04 February 2019,07 February 2019,1,3.0,3.5700000000000003,3.5700000000000003,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
