Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Produkt,Bestell_Nummer,ASIN_ID,Bestell_Datum,Rechnungs_Nummer,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Leon,Babucke,Eichbuschallee,1,72138,Kirchentellinsfurt,Germany,LED Pyramide 60 cm warmweiß - 20 LED,123-1233567-1233567,if492jf100,17 December 2018,DE3MQ100AEUI,20 December 2018,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Helen,Dachs,KGA Holunderbusch,8,68782,Brühl (Baden),Germany,Rakete Roadster Berlin - Urban Bike,123-1233568-1233568,if492jf101,18 December 2018,DE3MQ101AEUI,21 December 2018,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Phil,Iding,Helbigstraße,8,71720,Oberstenfeld,Germany,Hirsch Rentier Elch Figur,123-1233569-1233569,if492jf102,19 December 2018,DE3MQ102AEUI,22 December 2018,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Hendrik,Pachali,Vimystraße,1,72636,Frickenhausen (Württemberg),Germany,Hirsch Rentier Elch Figur,123-1233570-1233570,if492jf103,20 December 2018,DE3MQ103AEUI,23 December 2018,1,2.33,2.7727,2.7727,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Mareen,Oberleitner,Gemeinschaftsstraße,45,72415,Grosselfingen,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233571-1233571,if492jf104,21 December 2018,DE3MQ104AEUI,24 December 2018,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Gel,Ebersmann,Platz der Befreiung,8,71711,Murr,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1233572-1233572,if492jf105,22 December 2018,DE3MQ105AEUI,25 December 2018,1,1.33,1.5827,1.5827,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Hardy,Pachinger,Wilhelm-Ostwald-Straße,51,72657,Altenriet,Germany,LED Pyramide 60 cm warmweiß - 20 LED,123-1233573-1233573,if492jf106,23 December 2018,DE3MQ106AEUI,26 December 2018,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Julian,Labella,Forsthausallee,8,71297,Mönsheim,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1233574-1233574,if492jf107,24 December 2018,DE3MQ107AEUI,27 December 2018,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Susanne,Abdellaoui,Bernstadter Weg,26,69250,Schönau (Odenwald),Germany,LENOVO ThinkPad X260 Intel Core i7 6. Gen 2,123-1233575-1233575,if492jf108,25 December 2018,DE3MQ108AEUI,28 December 2018,1,2.3,2.737,2.737,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Lea,Ebbers,Glienicker Weg,2,71155,Altdorf (Kreis Böblingen),Germany,Philipp Plein Sport Runner Sneaker ,123-1233576-1233576,if492jf109,26 December 2018,DE3MQ109AEUI,29 December 2018,2,1.65,1.9635,1.9635,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
