Name,Lastname,Street,HouseNumber,PostalCode,City,Country,HPOrderNumber,CustomerOrderNumber,CustomerOrderDate,CustomerNumber,HPUSTID,n,PNr,Product,Produkt,LSNr,DeliveryDate,PackID,SerialNr,x,s00,a,s0,s1,total,InvoiceNumber
Falko,Obermoser,Schneckenburgerstraße,4,72511,Bingen bei Sigmaringen,Deutschland,6L55198234,PFJL62477360,2020-12-31,325344556,DE211515277,2,102Q2FE,"Apple MacBook Air Ret. 13"" (2020)",Apple MacBook Air,4286735,2021-01-09,STF2DJ0B81,PJM26833C0,302.51260504201684,605.0252100840337,1.22,606.2452100840337,115.18658991596641,721.4318000000001,9368384
Matthis,Saage,Eigenheimgasse,14,72531,Hohenstein (Württemberg),Deutschland,27O795125892,UBFY13153582,2021-10-14,978175832,DE277109188,2,574J6EV,"HP Chromebook 11A G6 AMD A4-9120C 11.6"" 4GB 32GB Flash 1366x768 Chrome OS Orange",HP Chromebook 11A,429141145,2021-10-23,UDP4DP4Q96,LNI7908M1,302.51260504201684,605.0252100840337,1.22,606.2452100840337,115.18658991596641,721.4318000000001,9848903
Saara,Habedank,Aprikosensteig,6,69231,Rauenberg,Deutschland,75G961568633,VETO75325725,2021-03-26,444121403,DE800571359,1,591Z8SH,"ASUS 15.6"" FULL-HD Laptop AMD 2.50 GHz - 8GB RAM - 512GB SSD - Win11","ASUS 15.6"" FULL-HD Laptop",453738100,2021-04-01,HHG1AB9A97,OFD47044B5,142.84873949579833,142.84873949579833,0.0,142.84873949579833,27.141260504201682,169.99,2607773
Floris,Machemer,Carl-Scheele-Straße,1,72479,Straßberg,Deutschland,76B602587015,NVBR47379774,2021-02-24,793007231,DE848556293,1,998F4FT,"Apple MacBook Air 13.3"" 2020 M1/8/256GB SSD 7C GPU Space Grau MGN63D/A",Apple MacBook Air,802307412,2021-03-02,ZNA6AY8Z56,VYD49873N7,302.51260504201684,302.51260504201684,1.69,304.20260504201684,57.7984949579832,362.00110000000006,4359381
Anton,Labude,Gellertstraße,27,71560,Sulzbach an der Murr,Deutschland,57P19549136,KODL7020992,2021-07-26,269787813,DE392447565,1,119C1TO,"Apple MacBook Air Ret. 13"" (2020)",Apple MacBook Air,45252907,2021-07-26,YYF9CF9I28,XYR21315N0,16.798319327731093,16.798319327731093,7.56,24.358319327731092,4.628080672268908,28.9864,4967204
Kathrin,Oberdieck,Neltestraße,6,72213,Altensteig,Deutschland,60I361324495,MALO54188477,2021-04-28,298146129,DE195214188,1,700U8GE,"Apple MacBook Air Ret. 13"" (2020)",Apple MacBook Air,516415889,2021-04-28,GEZ5ZM4P83,DAX93601S5,67.21848739495798,67.21848739495798,1.78,68.99848739495798,13.109712605042017,82.1082,5644096
Luise,Abas,Friedenstraße,6,68753,Waghäusel,Deutschland,18H494244444,TZXB36355264,2021-05-14,552037807,DE454491700,1,958K8ST,"Apple MacBook Air 13.3"" 2020 M1/16/512GB SSD 8C GPU Space Grau BTO",Apple MacBook Air,142726129,2021-05-16,VIV3OU7Z62,XXI66975R3,0.8319327731092437,0.8319327731092437,0.0,0.8319327731092437,0.1580672268907563,0.99,6093221
Paul,Labsch,Bärdorfer Zeile,65,71546,Aspach bei Backnang,Deutschland,0Y404445466,AZSX72284270,2021-05-03,106897730,DE188914110,2,842M0CM,"Apple MacBook Air Retina 13"" (2020)",Apple MacBook Air,709042292,2021-05-03,NCX9KC3H60,TNJ5451G1,5.033613445378152,10.067226890756304,0.0,10.067226890756304,1.9127731092436977,11.980000000000002,4976767
Ulas,Jackl,Dornbrunner Straße,51,72369,Zimmern unter der Burg,Deutschland,59W953283604,CWMZ24735380,2021-11-26,169573814,DE707080887,1,716A9GL,Neues AngebotNotebook Laptop HP 17-cn0622ng schwarz 256 GB SSD 17.3 Zoll HD+ Windows 10 Home ,Notebook Laptop HP 17,779329106,2021-12-04,PGZ8SK3X49,GPZ1649E2,3.941176470588236,3.941176470588236,0.0,3.941176470588236,0.7488235294117649,4.690000000000001,9693286
Tizian,Jachtmann,Wilhelm-Ostwald-Straße,5,72351,Geislingen (Zollernalbkreis),Deutschland,22H352249803,PSTI82256522,2021-10-12,512663736,DE216517172,1,6N0RQ,"MEDION E13203 Notebook Laptop 33.7cm/13.3"" Full HD Intel N5030 128GB SSD 4GB RAM",MEDION E13203 Notebook Laptop,884520801,2021-10-17,ATF5DE8H40,WOT54931H4,1.6722689075630253,1.6722689075630253,1.24,2.9122689075630253,0.5533310924369748,3.4656000000000002,6744652
