Name;Vorname;PLZ;Straße;Hausnummer;Ort;n;VK ohne Ust;VK mit Ust;VK Gesamt;Stückpreis mit Ust;Stückpreis ohne Ust;Ust. % Satz;ZS Produkt;Zs ohne Ust;Gesamt Ust. Betrag;Betrag;Bestelldatum;Lieferdatum;KundenNr
Babucke;Leon;72138;Eichbuschallee;1;Kirchentellinsfurt;1; -   € ; -   € ; -   € ;12,99 €;10,92 €;19%;12,99 €;10,92 €;2,07 €;12,99 €;01.01.2018;03.01.2018;000001
Dachs;Helen;68782;KGA Holunderbusch;8;Brühl (Baden);1; -   € ; -   € ; -   € ;359,99 €;302,51 €;19%;359,99 €;302,51 €;57,48 €;359,99 €;02.01.2018;04.01.2018;000002
Iding;Phil;71720;Helbigstraße;8;Oberstenfeld;1; -   € ; -   € ; -   € ;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;3,99 €;03.01.2018;05.01.2018;000003
Pachali;Hendrik;72636;Vimystraße;1;Frickenhausen (Württemberg);1;2,33 €;2,77 €;2,77 €;3,99 €;3,35 €;19%;3,99 €;3,35 €;0,64 €;6,76 €;04.01.2018;06.01.2018;000004
Oberleitner;Mareen;72415;Gemeinschaftsstraße;45;Grosselfingen;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;05.01.2018;07.01.2018;000005
Ebersmann;Gel;71711;Platz der Befreiung;8;Murr;1;1,33 €;1,58 €;1,58 €;49,99 €;42,01 €;19%;49,99 €;42,01 €;7,98 €;51,57 €;06.01.2018;08.01.2018;000006
Pachinger;Hardy;72657;Wilhelm-Ostwald-Straße;51;Altenriet;1; -   € ; -   € ; -   € ;12,99 €;10,92 €;19%;12,99 €;10,92 €;2,07 €;12,99 €;07.01.2018;09.01.2018;000007
Labella;Julian;71297;Forsthausallee;8;Mönsheim;1; -   € ; -   € ; -   € ;19,99 €;16,80 €;19%;19,99 €;16,80 €;3,19 €;19,99 €;08.01.2018;10.01.2018;000008
Abdellaoui;Susanne;69250;Bernstadter Weg;26;Schönau (Odenwald);1;2,30 €;2,74 €;2,74 €;169,99 €;142,85 €;19%;169,99 €;142,85 €;27,14 €;172,73 €;09.01.2018;11.01.2018;000009
Ebbers;Lea;71155;Glienicker Weg;2;Altdorf (Kreis Böblingen);2;1,65 €;1,96 €;1,96 €;79,99 €;67,22 €;19%;159,98 €;134,44 €;25,54 €;161,94 €;10.01.2018;12.01.2018;000010
Oberegger;Kaaria;72227;Genossenschaftsstraße;64;Egenhausen;1;1,24 €;1,48 €;1,48 €;39,99 €;33,61 €;19%;39,99 €;33,61 €;6,38 €;41,47 €;11.01.2018;13.01.2018;000011
Jacqueline;Yannis;72510;Forsthausallee;1;Stetten am kalten Markt;3; -   € ; -   € ; -   € ;49,99 €;42,01 €;19%;149,97 €;126,03 €;23,94 €;149,97 €;12.01.2018;14.01.2018;000012
Caicedo;Dirk;72555;Thomas-Müntzer-Straße;1;Metzingen;1; -   € ; -   € ; -   € ;79,99 €;67,22 €;19%;79,99 €;67,22 €;12,77 €;79,99 €;13.01.2018;15.01.2018;000013
Eble;Hugo;72144;Erich-Thilo-Straße;2;Dußlingen;1;1,99 €;2,37 €;2,37 €;39,99 €;33,61 €;19%;39,99 €;33,61 €;6,38 €;42,36 €;14.01.2018;16.01.2018;000014
Qorraj;Linas;72474;Bärdorfer Zeile;12;Winterlingen;1;1,99 €;2,37 €;2,37 €;60,99 €;51,25 €;19%;60,99 €;51,25 €;9,74 €;63,36 €;15.01.2018;17.01.2018;000015
Maack;Christoph;72160;Hollstraße;48;Horb am Neckar;1;2,10 €;2,50 €;2,50 €;89,99 €;75,62 €;19%;89,99 €;75,62 €;14,37 €;92,49 €;16.01.2018;18.01.2018;000016
Packroff;Jonathan;72226;Baumschulenstraße;7;Simmersfeld;1; -   € ; -   € ; -   € ;99,99 €;84,03 €;19%;99,99 €;84,03 €;15,96 €;99,99 €;17.01.2018;19.01.2018;000017
Jacksteit;Vidu;72417;KGA Holunderbusch;98;Jungingen;1;4,99 €;5,94 €;5,94 €;5,99 €;5,03 €;19%;5,99 €;5,03 €;0,96 €;11,93 €;18.01.2018;20.01.2018;000018
Dada;Ivette;69181;Ekkehardstraße;28;Leimen (Baden);1;1,99 €;2,37 €;2,37 €;69,99 €;58,82 €;19%;69,99 €;58,82 €;11,17 €;72,36 €;19.01.2018;21.01.2018;000019
