Lastname;Name;Street;HouseNumber;PostalCode;City;Country;email;InvoiceID;InvoiceDate;OrderNr;Ref;Product;n;x;s00;s1;total
Babucke;Leon;Eichbuschallee;1;72138;Kirchentellinsfurt;Deutschland;Leon.Babucke@gmx.de;FR-21-892923467;18.05.2021;0DD23FJHBTJ;TH2214MSNTGA;League of Legends Account EUW 40-50k BE Lol Smurf Lvl 30+ UNVERIFIED Unranked;1;11;11;2;13
Dachs;Helen;KGA Holunderbusch;8;68782;BrÅhl (Baden);Deutschland;Helen.Dachs@gmx.de;FR-21-891875821;05.11.2021;6HV255IQLKRG;YU851FIOLVQ;Landwirtschafts Simulator 22 2022 (PC DVD + Digital) (NEU & OVP) (Vorbestellung);1;303;303;57;360
Iding;Phil;Helbigstra·e;8;71720;Oberstenfeld;Deutschland;Phil.Iding@gmx.de;FR-21-80549685;28.01.2021;8KK860ODICYA;GD4157ZRUZRI;League of Legends Account EUW 60-70k BE Lol Smurf Lvl 30+ UNVERIFIED Unranked;1;3;3;1;4
Pachali;Hendrik;Vimystra·e;1;72636;Frickenhausen (WÅrttemberg);Deutschland;Hendrik.Pachali@gmx.de;FR-21-462067791;29.03.2021;6IQ524TINMYX;KO2675SQNPLO;League of Legends Account LOL EUW Unranked Lvl 30 All Champs Smurf Skins Acc BE;1;3;3;1;4
Oberleitner;Mareen;Gemeinschaftsstra·e;45;72415;Grosselfingen;Deutschland;Mareen.Oberleitner@gmx.de;FR-21-157690396;21.02.2021;9BA783IZWVGP;FP9429POABUC;[Europa/EU] Genshin Impact Hutao Baal Ayaka Diluc Jean Mona Venti Qiqi Kazuha;1;17;17;3;20
Ebersmann;Gel;Platz der Befreiung;8;71711;Murr;Deutschland;Gel.Ebersmann@gmx.de;FR-21-953164588;02.03.2021;6LU503GUJEEC;KB1783TNJRBF;Call of Duty Modern Warfare | PC | DE/MULTI | Battle.net | No Key/Code;1;42;42;8;50
Pachinger;Hardy;Wilhelm-Ostwald-Stra·e;51;72657;Altenriet;Deutschland;Hardy.Pachinger@gmx.de;FR-21-247444804;12.02.2021;1YB598JGDDKA;SL7638DCPMUW;Pet Simulator X Dark Matter Galaxy Fox;1;11;11;2;13
Labella;Julian;Forsthausallee;8;71297;Mînsheim;Deutschland;Julian.Labella@gmx.de;FR-21-610651744;10.12.2020;8AG169CHNPFO;ML1732VERRLA;Mario + Rabbids Kingdom Battle Gold Edition **Nintendo Switch Spiel NEU OVP;1;17;17;3;20
Abdellaoui;Susanne;Bernstadter Weg;26;69250;Schînau (Odenwald);Deutschland;Susanne.Abdellaoui@gmx.de;FR-21-292701904;15.05.2021;1NH171FEDXFQ;CX1595WBGGOG;100 x Exalted Orb | Scourge League | Path of Exile | PoE | Deutsche IP;1;143;143;27;170
Ebbers;Lea;Glienicker Weg;2;71155;Altdorf (Kreis Bîblingen);Deutschland;Lea.Ebbers@gmx.de;FR-21-657720990;07.01.2021;4VR740TURMCX;BW7YRNEOZ;Minecraft Premium Windows 10/11 Key [DE][PC][TOP][H«œndler] Blitz-Versand NEU É?≠É?≠;2;67;134;26;160
