Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Auftrags_Nummer,Auftrags_Datum,Rechnungs_Nummer,Rechnungs_Liefer_Datum,Artikel-Nr,Produkt-Name,Produkt-Beschreibung,Einzelpreis mit Ust,Menge,Versandart,Versandkosten,Zahlungsart,Ust. % Satz,Ust,Einzelpreis ohne Ust,Warenwert netto,Versandkosten netto,Gesamt Ust,Gesamtbetrag
Leon,Babucke,Eichbuschallee,1,72138,Kirchentellinsfurt,Deutschland,12354806P,17.12.2018,GER658611,20.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Helen,Dachs,KGA Holunderbusch,8,68782,Brühl (Baden),Deutschland,12354807P,18.12.2018,GER658612,21.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Phil,Iding,Helbigstraße,8,71720,Oberstenfeld,Deutschland,12354808P,19.12.2018,GER658613,22.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Hendrik,Pachali,Vimystraße,1,72636,Frickenhausen (Württemberg),Deutschland,12354809P,20.12.2018,GER658614,23.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Mareen,Oberleitner,Gemeinschaftsstraße,45,72415,Grosselfingen,Deutschland,12354810P,21.12.2018,GER658615,24.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Gel,Ebersmann,Platz der Befreiung,8,71711,Murr,Deutschland,12354811P,22.12.2018,GER658616,25.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Hardy,Pachinger,Wilhelm-Ostwald-Straße,51,72657,Altenriet,Deutschland,12354812P,23.12.2018,GER658617,26.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Julian,Labella,Forsthausallee,8,71297,Mönsheim,Deutschland,12354813P,24.12.2018,GER658618,27.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Susanne,Abdellaoui,Bernstadter Weg,26,69250,Schönau (Odenwald),Deutschland,12354814P,25.12.2018,GER658619,28.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Lea,Ebbers,Glienicker Weg,2,71155,Altdorf (Kreis Böblingen),Deutschland,12354815P,26.12.2018,GER658620,29.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Kaaria,Oberegger,Genossenschaftsstraße,64,72227,Egenhausen,Deutschland,12354816P,27.12.2018,GER658621,30.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Yannis,Jacqueline,Forsthausallee,1,72510,Stetten am kalten Markt,Deutschland,12354817P,28.12.2018,GER658622,31.12.2018,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Dirk,Caicedo,Thomas-Müntzer-Straße,1,72555,Metzingen,Deutschland,12354818P,29.12.2018,GER658623,01.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Hugo,Eble,Erich-Thilo-Straße,2,72144,Dußlingen,Deutschland,12354819P,30.12.2018,GER658624,02.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Linas,Qorraj,Bärdorfer Zeile,12,72474,Winterlingen,Deutschland,12354820P,31.12.2018,GER658625,03.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Christoph,Maack,Hollstraße,48,72160,Horb am Neckar,Deutschland,12354821P,01.01.2019,GER658626,04.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,Rechnung,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Jonathan,Packroff,Baumschulenstraße,7,72226,Simmersfeld,Deutschland,12354822P,02.01.2019,GER658627,05.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Vidu,Jacksteit,KGA Holunderbusch,98,72417,Jungingen,Deutschland,12354823P,03.01.2019,GER658628,06.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Ivette,Dada,Ekkehardstraße,28,69181,Leimen (Baden),Deutschland,12354824P,04.01.2019,GER658629,07.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Selbstabholer,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Bianca,Kabus,Rosenweg,29,68809,Neulußheim,Deutschland,12354825P,05.01.2019,GER658630,08.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Raina,Haarmeyer,Platz der Befreiung,9,68723,Schwetzingen,Deutschland,12354826P,06.01.2019,GER658631,09.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,3,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,181.2605042016807,0.0,34.439495798319335,215.70000000000005
Ebba,Babel,Bergaustraße,98,71679,Asperg,Deutschland,12354827P,07.01.2019,GER658632,10.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Jaqueline,Dähne,Florian-Geyer-Straße,4,69254,Malsch bei Wiesloch,Deutschland,12354828P,08.01.2019,GER658633,11.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Ian,Gaal,Frauenlobstraße,58,72213,Altensteig,Deutschland,12354829P,09.01.2019,GER658634,12.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,Bar,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Cedrik,Maag,Köpenicker Straße,9,72172,Sulz am Neckar,Deutschland,12354830P,10.01.2019,GER658635,13.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Selbstabholer,0.0,Vorkasse,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
Kaarle,Gaby,Hoffmannstraße,28,72419,Neufra,Deutschland,12354831P,11.01.2019,GER658636,14.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Linus,Labrenz,Arndtstraße,9,71540,Murrhardt,Deutschland,12354832P,12.01.2019,GER658637,15.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,1,Selbstabholer,0.0,Bar,0.19,11.479831932773111,60.420168067226896,60.420168067226896,0.0,11.479831932773111,71.9
Luzia,Laake,Dornbrunner Straße,61,71131,Jettingen,Deutschland,12354833P,13.01.2019,GER658638,16.01.2019,08841-1516H,Wahl Professional Beret Stealth,Netz-/Akku Konturenhaarschneider,71.9,2,Lieferung,0.0,PayPal,0.19,11.479831932773111,60.420168067226896,120.84033613445379,0.0,22.959663865546222,143.8
