Kunden_Nummer,Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Rechnungs_Nummer,Rechnungs_Datum,Leistungs_Beginn,Leistungs_Ende,Produkt,Preis_ohne_Ust,Preis_mit_Ust,Ust. % Satz,Ust,Abrechnungs_Nummer
PRM120110038741,Leon,Babucke,Eichbuschallee,1,72138,Kirchentellinsfurt,Deutschland,1095658611,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988600
PRM120110038742,Helen,Dachs,KGA Holunderbusch,8,68782,Brühl (Baden),Deutschland,1095658612,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988601
PRM120110038743,Phil,Iding,Helbigstraße,8,71720,Oberstenfeld,Deutschland,1095658613,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988602
PRM120110038744,Hendrik,Pachali,Vimystraße,1,72636,Frickenhausen (Württemberg),Deutschland,1095658614,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988603
PRM120110038745,Mareen,Oberleitner,Gemeinschaftsstraße,45,72415,Grosselfingen,Deutschland,1095658615,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988604
PRM120110038746,Gel,Ebersmann,Platz der Befreiung,8,71711,Murr,Deutschland,1095658616,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988605
PRM120110038747,Hardy,Pachinger,Wilhelm-Ostwald-Straße,51,72657,Altenriet,Deutschland,1095658617,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988606
PRM120110038748,Julian,Labella,Forsthausallee,8,71297,Mönsheim,Deutschland,1095658618,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988607
PRM120110038749,Susanne,Abdellaoui,Bernstadter Weg,26,69250,Schönau (Odenwald),Deutschland,1095658619,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988608
PRM120110038750,Lea,Ebbers,Glienicker Weg,2,71155,Altdorf (Kreis Böblingen),Deutschland,1095658620,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988609
PRM120110038751,Kaaria,Oberegger,Genossenschaftsstraße,64,72227,Egenhausen,Deutschland,1095658621,07.11.2020,07.11.2020,06.11.2021,Premium-Mitgliedschaft,9.95,11.840499999999999,0.19,1.8904999999999998,B-9AV15436GG4988610
