Lastname,Name,Street,HouseNumber,PostalCode,City,Country,email,InvoiceID,InvoiceDate,OrderNr,Ref,Product,n,x,s00,s1,total
Babucke,Leon,Eichbuschallee,1,72138,Kirchentellinsfurt,Deutschland,Leon.Babucke@gmx.de,FR-21-817012571,2021-10-16,6UR99WFYFLI,OW3638VCHLZF,League of Legends Account EUW 40-50k BE Lol Smurf Lvl 30+ UNVERIFIED Unranked,1,10.915966386554622,10.915966386554622,2.074033613445378,12.99
Dachs,Helen,KGA Holunderbusch,8,68782,Brühl (Baden),Deutschland,Helen.Dachs@gmx.de,FR-21-355425340,2021-02-16,0OA372VZZHHX,SU4180GEQWKA,Landwirtschafts Simulator 22 2022 (PC DVD + Digital) (NEU & OVP) (Vorbestellung),1,302.51260504201684,302.51260504201684,57.4773949579832,359.99000000000007
Iding,Phil,Helbigstraße,8,71720,Oberstenfeld,Deutschland,Phil.Iding@gmx.de,FR-21-978970914,2021-02-03,7BD202IVLWVN,JP697HVDWUT,League of Legends Account EUW 60-70k BE Lol Smurf Lvl 30+ UNVERIFIED Unranked,1,3.3529411764705888,3.3529411764705888,0.6370588235294119,3.9900000000000007
Pachali,Hendrik,Vimystraße,1,72636,Frickenhausen (Württemberg),Deutschland,Hendrik.Pachali@gmx.de,FR-21-704243671,2021-10-21,0WW280WPAGJX,OP8811QFCELF,League of Legends Account LOL EUW Unranked Lvl 30 All Champs Smurf Skins Acc BE,1,3.3529411764705888,3.3529411764705888,0.6370588235294119,3.9900000000000007
Oberleitner,Mareen,Gemeinschaftsstraße,45,72415,Grosselfingen,Deutschland,Mareen.Oberleitner@gmx.de,FR-21-564092323,2021-01-29,6CG393ODYKYM,KD6599VAASWJ,[Europa/EU] Genshin Impact Hutao Baal Ayaka Diluc Jean Mona Venti Qiqi Kazuha,1,16.798319327731093,16.798319327731093,3.191680672268908,19.990000000000002
Ebersmann,Gel,Platz der Befreiung,8,71711,Murr,Deutschland,Gel.Ebersmann@gmx.de,FR-21-385661743,2021-03-28,0YE382ZSJROR,DH5201WCWJKH,Call of Duty Modern Warfare | PC | DE/MULTI | Battle.net | No Key/Code,1,42.00840336134454,42.00840336134454,7.981596638655463,49.99
Pachinger,Hardy,Wilhelm-Ostwald-Straße,51,72657,Altenriet,Deutschland,Hardy.Pachinger@gmx.de,FR-21-658759196,2021-05-28,0EQ56OQVEGU,IW8715PEVOZJ,Pet Simulator X Dark Matter Galaxy Fox,1,10.915966386554622,10.915966386554622,2.074033613445378,12.99
Labella,Julian,Forsthausallee,8,71297,Mönsheim,Deutschland,Julian.Labella@gmx.de,FR-21-95965165,2021-09-30,5NK555SQWGHF,ZA1599YUWYRI,Mario + Rabbids Kingdom Battle Gold Edition **Nintendo Switch Spiel NEU OVP,1,16.798319327731093,16.798319327731093,3.191680672268908,19.990000000000002
Abdellaoui,Susanne,Bernstadter Weg,26,69250,Schönau (Odenwald),Deutschland,Susanne.Abdellaoui@gmx.de,FR-21-270586112,2021-09-29,4EA658CNVHXT,WJ3729EYZLVP,100 x Exalted Orb | Scourge League | Path of Exile | PoE | Deutsche IP,1,142.84873949579833,142.84873949579833,27.141260504201682,169.99
Ebbers,Lea,Glienicker Weg,2,71155,Altdorf (Kreis Böblingen),Deutschland,Lea.Ebbers@gmx.de,FR-21-241062301,2021-07-24,0FP861ACXSMY,DI6241BKJAEU,Minecraft Premium Windows 10/11 Key [DE][PC][TOP][HÃ¤ndler] Blitz-Versand NEU âš¡âš¡,2,67.21848739495798,134.43697478991595,25.543025210084032,159.98
Oberegger,Kaaria,Genossenschaftsstraße,64,72227,Egenhausen,Deutschland,Kaaria.Oberegger@gmx.de,FR-21-49801055,2021-02-05,2AI513EKAQNW,TO2210KZBJCQ,50 x Exalted Orb | Scourge League | Path of Exile | PoE | Deutsche IP,1,33.60504201680673,33.60504201680673,6.384957983193278,39.99000000000001
Jacqueline,Yannis,Forsthausallee,1,72510,Stetten am kalten Markt,Deutschland,Yannis.Jacqueline@gmx.de,FR-21-141979901,2021-09-06,5PV119PFOCNU,KM8948RYFTLR,WoW Classic Season of Mastery (SoM) Kingsfall Gold Horde&Allianz - Blitzversand,3,42.00840336134454,126.02521008403363,23.94478991596639,149.97000000000003
Caicedo,Dirk,Thomas-Müntzer-Straße,1,72555,Metzingen,Deutschland,Dirk.Caicedo@gmx.de,FR-21-807165054,2020-12-25,3MX539GDUBDJ,NJ9555HMKSEA,Call of Duty: Vanguard| PC | DE/MULTI [Battle.net] No Key/Code,1,67.21848739495798,67.21848739495798,12.771512605042016,79.99
Eble,Hugo,Erich-Thilo-Straße,2,72144,Dußlingen,Deutschland,Hugo.Eble@gmx.de,FR-21-131411016,2021-05-25,5CM944CJOPPK,QI7371QSVFLM,Red Dead Redemption 2 | PC | Digital Download | INSTANT [GLOBAL],1,33.60504201680673,33.60504201680673,6.384957983193278,39.99000000000001
Qorraj,Linas,Bärdorfer Zeile,12,72474,Winterlingen,Deutschland,Linas.Qorraj@gmx.de,FR-21-762998143,2021-06-10,3EC551EHQVSZ,MD3064HDGYFZ,New World Gold Coins Alle EU Server DE Sofortversand Sicher Schnell,1,51.25210084033614,51.25210084033614,9.737899159663867,60.99000000000001
Maack,Christoph,Hollstraße,48,72160,Horb am Neckar,Deutschland,Christoph.Maack@gmx.de,FR-21-430175601,2021-04-11,4HO529RXPGPY,IM7593MDESWB,WoW Classic Season of Mastery (SoM) Dreadnaught Gold Horde&Allianz Blitzversand!,1,75.6218487394958,75.6218487394958,14.368151260504202,89.99000000000001
Packroff,Jonathan,Baumschulenstraße,7,72226,Simmersfeld,Deutschland,Jonathan.Packroff@gmx.de,FR-21-169286512,2021-02-04,9RI488HXFAFF,ZN6300NJEZEY,Grand Theft Auto V Premium Edition |PC| Digital Download| INSTANT [GLOBAL]|GTA 5,1,84.02521008403362,84.02521008403362,15.964789915966387,99.99000000000001
Jacksteit,Vidu,KGA Holunderbusch,98,72417,Jungingen,Deutschland,Vidu.Jacksteit@gmx.de,FR-21-648839535,2021-10-15,7AW685UJNUIP,CC2081HVUEMV,Diablo 2 Resurrected  Infinity d2r Unendlichkeit  eth Drescher PC SC ber,1,5.033613445378152,5.033613445378152,0.9563865546218489,5.990000000000001
Dada,Ivette,Ekkehardstraße,28,69181,Leimen (Baden),Deutschland,Ivette.Dada@gmx.de,FR-21-876655045,2021-06-30,3XN370ZWZJIS,QX79GMDIGD,League of Legends Account EUW 50.000+ BE Lol Smurf Lvl 30+ UNVERIFIED Unranked,1,58.81512605042017,58.81512605042017,11.174873949579831,69.99
Kabus,Bianca,Rosenweg,29,68809,Neulußheim,Deutschland,Bianca.Kabus@gmx.de,FR-21-980256486,2021-01-05,1BZ424CHIGOF,HC2462STRSOW,Horizon: Zero Dawn (Complete Edition) [PC-Download | STEAM | KEY],1,33.60504201680673,33.60504201680673,6.384957983193278,39.99000000000001
Haarmeyer,Raina,Platz der Befreiung,9,68723,Schwetzingen,Deutschland,Raina.Haarmeyer@gmx.de,FR-21-885474615,2021-06-04,1QQ605LJFGRR,HA6606SXOSRJ,Diablo 2 Resurrected - Runes - 31# -Jah,1,13.436974789915967,13.436974789915967,2.5530252100840336,15.99
Babel,Ebba,Bergaustraße,98,71679,Asperg,Deutschland,Ebba.Babel@gmx.de,FR-21-586719134,2021-04-09,2PZ238TIHKGY,QW9044RZBMZL,Cyberpunk 2077 Key - GOG PC Spiel Digital Donwload Code - DE/EU,1,8.394957983193278,8.394957983193278,1.5950420168067228,9.99
Dähne,Jaqueline,Florian-Geyer-Straße,4,69254,Malsch bei Wiesloch,Deutschland,Jaqueline.Dähne@gmx.de,FR-21-602948577,2021-09-16,4TI394FKZLVA,LJ8119BMIDQR,Metin2 Germania - 15 Won (1.5kkk Yang) - BlitzÃ¼bergabe âš¡ 100% sicher ðŸ‘,1,3.3529411764705888,3.3529411764705888,0.6370588235294119,3.9900000000000007
Gaal,Ian,Frauenlobstraße,58,72213,Altensteig,Deutschland,Ian.Gaal@gmx.de,FR-21-655335730,2021-05-20,6NM681TZMBMP,DC3836QYQZIO,Farming Simulator 22 | PC | STEAM | DE/MULTI | Key / Code | INSTANT,1,3.3529411764705888,3.3529411764705888,0.6370588235294119,3.9900000000000007
Maag,Cedrik,Köpenicker Straße,9,72172,Sulz am Neckar,Deutschland,Cedrik.Maag@gmx.de,FR-21-427913168,2021-04-28,2TY592GHNPML,CM1175QDKYYX,Pet Simulator X Rainbow Galaxy Fox,2,84.02521008403362,168.05042016806723,31.929579831932774,199.98000000000002
Gaby,Kaarle,Hoffmannstraße,28,72419,Neufra,Deutschland,Kaarle.Gaby@gmx.de,FR-21-422657587,2021-04-07,6WK0CBPQLS,DW3727ATFNYR,Pet Simulator X 100M Diamonds (100.000.000) -sofortige Lieferung!,1,168.05882352941177,168.05882352941177,31.931176470588237,199.99
Labrenz,Linus,Arndtstraße,9,71540,Murrhardt,Deutschland,Linus.Labrenz@gmx.de,FR-21-351855881,2021-04-08,1HG88MADUWT,MA2070GYIHKK,Star Citizen 1.000.000 aUEC,1,3.3529411764705888,3.3529411764705888,0.6370588235294119,3.9900000000000007
Laake,Luzia,Dornbrunner Straße,61,71131,Jettingen,Deutschland,Luzia.Laake@gmx.de,FR-21-253594310,2021-04-06,5SN35AXIGDM,LZ7464GCSGSI,Escape From Tarkov 10.000.000 Rubel Roubles Patch 0.12.11 EFT 10M 10 Mio 10 Mil.,2,84.02521008403362,168.05042016806723,31.929579831932774,199.98000000000002
Kaaden,Maya,Friedenstraße,48,72636,Frickenhausen (Württemberg),Deutschland,Maya.Kaaden@gmx.de,FR-21-291233264,2021-02-09,3JQ299GOEJRG,EX5349IFVULX,BPM: BULLETS PER MINUTE GAME! STEAM! KEY NEU REINSCHAUEN,1,0.8319327731092437,0.8319327731092437,0.1580672268907563,0.99
Lachmuth,Baldur,Lohnauer Steig,45,71729,Erdmannhausen,Deutschland,Baldur.Lachmuth@gmx.de,FR-21-529390767,2021-07-23,9XV402RNJBXC,UM6071LTLLGQ,Diablo 2 Resurrected - Spinnenmonsternetz - Arach - Arachnid Mesh - Softcore PC,1,67.21848739495798,67.21848739495798,12.771512605042016,79.99
Lacheta,Allessandro,Hackenbergstraße,1,71711,Steinheim an der Murr,Deutschland,Allessandro.Lacheta@gmx.de,FR-21-729308500,2021-05-10,1BZ790LXODDS,NH2576QVMYPH,Diablo 2 Resurrected - D2R - [EU/SC/PC] - HÃ¤nde Auflegen / Laying of Hands,2,302.51260504201684,605.0252100840337,114.9547899159664,719.9800000000001
Ickstadt,Olivier,Moissistraße,25,71579,Spiegelberg,Deutschland,Olivier.Ickstadt@gmx.de,FR-21-273801884,2020-12-22,0AW964BNTKPZ,QL9376UIKNHG,Microsoft Flight Simulator Premium Game of the Year 2020 Xbox Series X|S PC Key,2,42.00840336134454,84.01680672268908,15.963193277310927,99.98
Qelaj,Leon,Husstraße,15,72417,Jungingen,Deutschland,Leon.Qelaj@gmx.de,FR-21-113181738,2021-06-25,0JQ686BBGKOJ,LS436KNBQSG,Star Citizen 555000 aUEC - Alpha UEC Credit 3.15.1 Live,2,3.3529411764705888,6.7058823529411775,1.2741176470588238,7.980000000000001
Calabrese,Fabian,Stienitzseestraße,48,72658,Bempflingen,Deutschland,Fabian.Calabrese@gmx.de,FR-21-367902238,2021-11-05,8VQ975PNEPFG,WI9151ZYYSMP,"Diablo 2 Resurrected D2R unid vernichtikus, unid Annihilus - PC/SC-US/EU/ASIA",1,13.436974789915967,13.436974789915967,2.5530252100840336,15.99
Eaton,Lucy,Eigenheimgasse,62,71139,Ehningen,Deutschland,Lucy.Eaton@gmx.de,FR-21-306623613,2021-12-03,5KX136EFKIDQ,XK5392WCAGCL,200 x Exalted Orb - Scourge League Softcore PC Path of Exile PoE- Blitzlieferung,1,302.51260504201684,302.51260504201684,57.4773949579832,359.99000000000007
Icli,Onur,Walther-Nernst-Straße,48,71679,Asperg,Deutschland,Onur.Icli@gmx.de,FR-21-529536309,2021-09-14,2PZ28XJCQHK,BE961EXDRSX,NEW WORLD - 10.000 GOLD (Taler) - ALLE SERVER *Sofortlieferung* ,1,27.722689075630257,27.722689075630257,5.267310924369749,32.99000000000001
Ebigt,Hendrik,Zinsgutstraße,3,72131,Ofterdingen,Deutschland,Hendrik.Ebigt@gmx.de,FR-21-194577566,2021-11-16,9CQ365KNJVLB,XZ5465MQQKVR,Forza Horizon 5 Premium XBOX ONE /Xbox Series X|S / PC Key,1,16.798319327731093,16.798319327731093,3.191680672268908,19.990000000000002
Gabbert,Jan,Baumschulenstraße,12,72250,Freudenstadt,Deutschland,Jan.Gabbert@gmx.de,FR-21-939923585,2021-11-13,6DL789GDWZSV,DJ1554OZIWQA,ARK: Survival Evolved  | PC | Digital Download | INSTANT [GLOBAL]| NEU,1,3.3529411764705888,3.3529411764705888,0.6370588235294119,3.9900000000000007
Calame,Fabia,Zinsgutstraße,26,72666,Neckartailfingen,Deutschland,Fabia.Calame@gmx.de,FR-21-695266616,2021-01-21,3PE560UGQIJU,TD9859BJZPDJ,Call of Duty Black Ops Cold War| PC |Digital Download| INSTANT [GLOBAL] CoD,1,1.6722689075630253,1.6722689075630253,0.3177310924369748,1.99
